ProcedureName,ResultName,IsConsoleDefault,IsRawExportable,IsTableExportable,SourceTable,SchemaVersion,SourceSchema,EmptyConsoleMessage
USP_CurrentIO,files,1,1,1,#CurrentIO_Result,1,"[DatabaseId] int NOT NULL , [DatabaseName] sysname COLLATE SQL_Latin1_General_CP1_CS_AS NOT NULL , [FileId] int NOT NULL , [LogicalName] sysname NULL , [PhysicalName] nvarchar(260) NULL , [FileTypeDesc] nvarchar(60) NULL , [SampleSeconds] int NOT NULL , [Reads] bigint NOT NULL , [ReadBytes] bigint NOT NULL , [ReadStallMs] bigint NOT NULL , [Writes] bigint NOT NULL , [WriteBytes] bigint NOT NULL , [WriteStallMs] bigint NOT NULL , [ReadLatencyMs] decimal(19,3) NULL , [WriteLatencyMs] decimal(19,3) NULL , [OverallLatencyMs] decimal(19,3) NULL , [ReadThroughputMbPerSecond] decimal(19,3) NULL , [WriteThroughputMbPerSecond] decimal(19,3) NULL , [SizeOnDiskMb] decimal(19,2) NULL",Keine I/O-Ergebnisse
USP_CurrentIO,warnings,0,1,1,#CurrentIO_DatabaseCandidateWarnings,1,"[RequestedName] sysname COLLATE SQL_Latin1_General_CP1_CS_AS NULL , [StatusCode] varchar(40) NOT NULL , [ErrorMessage] nvarchar(2048) NULL",
USP_CurrentLog,logs,1,1,1,#CurrentLog_Result,1,"[DatabaseId] int NOT NULL , [DatabaseName] sysname COLLATE SQL_Latin1_General_CP1_CS_AS NOT NULL , [RecoveryModel] nvarchar(60) NULL , [LogReuseWaitDesc] nvarchar(60) NULL , [TotalLogSizeMb] decimal(19,2) NULL , [UsedLogSizeMb] decimal(19,2) NULL , [UsedLogPercent] decimal(19,4) NULL , [LogSinceLastBackupMb] decimal(19,2) NULL , [ActiveVlfCount] bigint NULL , [TotalVlfCount] bigint NULL , [LogTruncationHoldupReason] nvarchar(60) NULL , [LogBackupTime] datetime NULL , [LogRecoverySizeMb] decimal(19,2) NULL , [IsAdrEnabled] bit NULL , [PersistentVersionStoreMb] decimal(19,2) NULL , [SpaceStatus] varchar(40) NOT NULL , [StatsStatus] varchar(40) NOT NULL , [VlfStatus] varchar(40) NOT NULL , [PvsStatus] varchar(40) NOT NULL",Keine Protokollergebnisse
USP_CurrentOverview,moduleStatus,1,1,1,#CurrentOverview_ModuleStatus,1,"[ModuleOrdinal] int NOT NULL , [ResultName] sysname COLLATE SQL_Latin1_General_CP1_CS_AS NOT NULL , [ModuleName] sysname NOT NULL , [StatusCode] varchar(40) NOT NULL , [IsPartial] bit NOT NULL , [ReturnedRowCount] bigint NOT NULL , [DurationMs] bigint NOT NULL , [ErrorMessage] nvarchar(2048) NULL , PRIMARY KEY ([ModuleOrdinal])",Keine aktivierten Module
USP_CurrentOverview,sessions,0,1,1,#CurrentOverview_Sessions,1,[Seed] bit NULL,
USP_CurrentOverview,requests,0,1,1,#CurrentOverview_Requests,1,[Seed] bit NULL,
USP_CurrentOverview,blocking,0,1,1,#CurrentOverview_Blocking,1,[Seed] bit NULL,
USP_CurrentOverview,waits,0,1,1,#CurrentOverview_Waits,1,[Seed] bit NULL,
USP_CurrentOverview,transactions,0,1,1,#CurrentOverview_Transactions,1,[Seed] bit NULL,
USP_CurrentOverview,memoryGrants,0,1,1,#CurrentOverview_MemoryGrants,1,[Seed] bit NULL,
USP_CurrentOverview,tempdbSessions,0,1,1,#CurrentOverview_TempDBSessions,1,[Seed] bit NULL,
USP_CurrentOverview,io,0,1,1,#CurrentOverview_IO,1,[Seed] bit NULL,
USP_CurrentOverview,logs,0,1,1,#CurrentOverview_Logs,1,[Seed] bit NULL,
USP_CurrentOverview,warnings,0,1,1,#CurrentOverview_Warnings,1,"[ModuleName] sysname NOT NULL , [StatusCode] varchar(40) NOT NULL , [Message] nvarchar(2048) NULL",
USP_ObjectInventory,objects,1,1,1,#ObjectInventory_Result,1,"[DatabaseName] sysname NOT NULL , [SchemaName] sysname NOT NULL , [ObjectName] sysname NOT NULL , [ObjectType] varchar(20) NOT NULL , [ObjectId] int NOT NULL , [IsMsShipped] bit NOT NULL , [IsMemoryOptimized] bit NULL , [TemporalTypeDesc] nvarchar(60) NULL , [DurabilityDesc] nvarchar(60) NULL , [CreateDate] datetime NULL , [ModifyDate] datetime NULL , [ObjectRowCount] bigint NULL , [ObjectReservedMb] decimal(19,2) NULL , [ObjectUsedMb] decimal(19,2) NULL , [IndexId] int NULL , [IndexName] sysname NULL , [IndexTypeDesc] nvarchar(60) NULL , [IsUnique] bit NULL , [IsPrimaryKey] bit NULL , [IsUniqueConstraint] bit NULL , [IsDisabled] bit NULL , [IsHypothetical] bit NULL , [HasFilter] bit NULL , [FilterDefinition] nvarchar(max) NULL , [FillFactor] tinyint NULL , [AllowRowLocks] bit NULL , [AllowPageLocks] bit NULL , [OptimizeForSequentialKey] bit NULL , [DataSpaceName] sysname NULL , [PartitionCount] int NULL , [IndexRowCount] bigint NULL , [IndexReservedMb] decimal(19,2) NULL , [IndexUsedMb] decimal(19,2) NULL , [MinCompressionDesc] nvarchar(60) NULL , [MaxCompressionDesc] nvarchar(60) NULL , [HasMixedCompression] bit NULL , [KeyColumns] nvarchar(max) NULL , [IncludedColumns] nvarchar(max) NULL",Keine fachlichen Ergebnisse
USP_IndexUsage,rowstoreIndexes,1,1,1,#IndexUsage_Result,1,"[DatabaseName] sysname NOT NULL , [SchemaName] sysname NOT NULL , [ObjectName] sysname NOT NULL , [ObjectId] int NOT NULL , [IndexId] int NOT NULL , [IndexName] sysname NULL , [IndexTypeDesc] nvarchar(60) NULL , [IsMemoryOptimized] bit NOT NULL , [IsSpatialIndex] bit NOT NULL , [IsPrimaryKey] bit NULL , [IsUniqueConstraint] bit NULL , [IsDisabled] bit NULL , [RowCount] bigint NULL , [UserSeeks] bigint NOT NULL , [UserScans] bigint NOT NULL , [UserLookups] bigint NOT NULL , [UserUpdates] bigint NOT NULL , [TotalUserReads] bigint NOT NULL , [ReadWriteRatio] decimal(19,4) NULL , [LastUserSeek] datetime NULL , [LastUserScan] datetime NULL , [LastUserLookup] datetime NULL , [LastUserUpdate] datetime NULL , [SystemSeeks] bigint NOT NULL , [SystemScans] bigint NOT NULL , [SystemLookups] bigint NOT NULL , [SystemUpdates] bigint NOT NULL , [DmvResetTimeServerLocal] datetime2(3) NULL , [UsageClassification] varchar(48) NOT NULL",Keine fachlichen Ergebnisse
USP_IndexOperationalStats,indexOperationalStats,1,1,1,#IndexOperationalStats_Result,1,"[DatabaseName] sysname NOT NULL, [SchemaName] sysname NULL, [ObjectName] sysname NULL, [ObjectId] int NOT NULL, [IsMemoryOptimized] bit NULL, [IndexId] int NOT NULL, [IndexName] sysname NULL, [IndexTypeDesc] nvarchar(60) NULL, [PartitionNumber] int NOT NULL, [HobtId] bigint NULL, [LeafInsertCount] bigint NOT NULL, [LeafDeleteCount] bigint NOT NULL, [LeafUpdateCount] bigint NOT NULL, [LeafGhostCount] bigint NOT NULL, [LeafPageAllocationCount] bigint NOT NULL, [NonleafPageAllocationCount] bigint NOT NULL, [LeafPageMergeCount] bigint NOT NULL, [RangeScanCount] bigint NOT NULL, [SingletonLookupCount] bigint NOT NULL, [ForwardedFetchCount] bigint NOT NULL, [LobFetchPages] bigint NOT NULL, [RowOverflowFetchPages] bigint NOT NULL, [RowLockCount] bigint NOT NULL, [RowLockWaitCount] bigint NOT NULL, [RowLockWaitMs] bigint NOT NULL, [PageLockCount] bigint NOT NULL, [PageLockWaitCount] bigint NOT NULL, [PageLockWaitMs] bigint NOT NULL, [LockPromotionAttemptCount] bigint NOT NULL, [LockPromotionCount] bigint NOT NULL, [PageLatchWaitCount] bigint NOT NULL, [PageLatchWaitMs] bigint NOT NULL, [PageIoLatchWaitCount] bigint NOT NULL, [PageIoLatchWaitMs] bigint NOT NULL, [TreePageLatchWaitCount] bigint NOT NULL, [TreePageLatchWaitMs] bigint NOT NULL, [PageCompressionAttemptCount] bigint NOT NULL, [PageCompressionSuccessCount] bigint NOT NULL, [LeafAllocationsPerInsert] decimal(19,6) NULL, [LockWaitMsPerWait] decimal(19,4) NULL, [PageLatchWaitMsPerWait] decimal(19,4) NULL, [PageIoLatchWaitMsPerWait] decimal(19,4) NULL, [UsageClassification] varchar(48) NOT NULL",Keine fachlichen Ergebnisse
USP_MissingIndexes,missingIndexes,1,1,1,#MissingIndexes_Result,1,"[DatabaseName] sysname NOT NULL, [SchemaName] sysname NULL, [ObjectName] sysname NULL, [ObjectId] int NULL, [IndexHandle] int NOT NULL, [IndexGroupHandle] int NOT NULL, [UniqueCompiles] bigint NULL, [UserSeeks] bigint NULL, [UserScans] bigint NULL, [TotalUserReads] bigint NULL, [LastUserSeek] datetime NULL, [LastUserScan] datetime NULL, [AvgTotalUserCost] float NULL, [AvgUserImpact] float NULL, [ImprovementMeasure] decimal(28,2) NULL, [EqualityColumns] nvarchar(4000) NULL, [InequalityColumns] nvarchar(4000) NULL, [IncludedColumns] nvarchar(4000) NULL, [StatementName] nvarchar(4000) NULL, [ProposedIndexName] sysname NULL, [ProposedCreateIndex] nvarchar(max) NULL, [WarningText] nvarchar(1000) NOT NULL",Keine fachlichen Ergebnisse
USP_Statistics,statistics,1,1,1,#Statistics_Result,1,"[DatabaseName] sysname NOT NULL,[SchemaName] sysname NOT NULL,[ObjectName] sysname NOT NULL,[ObjectId] int NOT NULL, [StatisticsId] int NOT NULL,[StatisticsName] sysname NOT NULL,[IsIndexStatistics] bit NOT NULL,[IsAutoCreated] bit NULL,[IsUserCreated] bit NULL, [IsFiltered] bit NULL,[FilterDefinition] nvarchar(max) NULL,[NoRecompute] bit NULL,[IsIncremental] bit NULL,[HasPersistedSample] bit NULL, [StatisticsColumns] nvarchar(max) NULL,[LastUpdated] datetime2 NULL,[Rows] bigint NULL,[RowsSampled] bigint NULL,[SamplePercent] decimal(9,4) NULL, [Steps] int NULL,[UnfilteredRows] bigint NULL,[ModificationCounter] bigint NULL,[ModificationPercent] decimal(19,4) NULL, [PersistedSamplePercent] float NULL,[DaysSinceLastUpdate] int NULL,[VisibilityOrState] varchar(40) NOT NULL",Keine fachlichen Ergebnisse
USP_StatisticsDistributionAnalysis,findings,1,1,1,#StatisticsDistributionAnalysis_Findings,1,"[FindingOrdinal] bigint IDENTITY(1,1) NOT NULL , [DatabaseName] sysname NULL , [SchemaName] sysname NULL , [ObjectName] sysname NULL , [StatisticsName] sysname NULL , [Severity] varchar(16) NOT NULL , [Confidence] varchar(16) NOT NULL , [FindingCode] varchar(120) NOT NULL , [MetricName] varchar(80) NOT NULL , [MetricValue] decimal(38,4) NULL , [ThresholdValue] decimal(38,4) NULL , [Evidence] nvarchar(1000) NOT NULL , [EvidenceLimit] nvarchar(1000) NOT NULL , [RecommendedNextCheck] nvarchar(1000) NOT NULL",Keine fachlichen Ergebnisse
USP_Partitions,partitions,1,1,1,#Partitions_Result,1,"[DatabaseName] sysname NOT NULL,[SchemaName] sysname NOT NULL,[ObjectName] sysname NOT NULL,[ObjectId] int NOT NULL, [IndexId] int NOT NULL,[IndexName] sysname NULL,[IndexTypeDesc] nvarchar(60) NULL,[PartitionNumber] int NOT NULL,[PartitionCount] int NOT NULL, [PartitionId] bigint NOT NULL,[HobtId] bigint NULL,[RowCount] bigint NULL,[ReservedMb] decimal(19,2) NULL,[UsedMb] decimal(19,2) NULL, [DataCompressionDesc] nvarchar(60) NULL,[XmlCompressionDesc] varchar(3) NULL,[DataSpaceName] sysname NULL,[DestinationFilegroupName] sysname NULL, [PartitionSchemeName] sysname NULL,[PartitionFunctionName] sysname NULL,[BoundaryOnRight] bit NULL, [LowerBoundaryValue] nvarchar(4000) NULL,[LowerBoundaryInclusive] bit NULL,[UpperBoundaryValue] nvarchar(4000) NULL,[UpperBoundaryInclusive] bit NULL, [HasMixedCompression] bit NOT NULL",Keine fachlichen Ergebnisse
