ProcedureName,ParameterName,DataType,DefaultExpression
USP_CurrentWaits,WaitGroups,nvarchar(max),NULL
USP_CurrentWaits,WaitGroupPattern,nvarchar(4000),NULL
USP_CurrentWaits,SystemSessionsEinbeziehen,bit,0
USP_CurrentWaits,MitSqlText,bit,1
USP_CurrentWaits,MaxSqlTextZeichen,int,2000
USP_CurrentWaits,SampleSeconds,tinyint,0
USP_CurrentWaits,UnkritischeWaitsEinbeziehen,bit,0
USP_CurrentWaits,TopWaitPercentage,"decimal(5,2)",95.00
USP_CurrentWaits,MaxZeilen,int,1000
USP_CurrentWaits,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentWaits,JsonErzeugen,bit,0
USP_CurrentWaits,Json,nvarchar(max),NULL OUTPUT
USP_CurrentWaits,PrintMeldungen,bit,1
USP_CurrentWaits,Hilfe,bit,0
USP_CurrentTransactions,SessionIds,nvarchar(max),NULL
USP_CurrentTransactions,MinAlterSekunden,int,0
USP_CurrentTransactions,NurSleeping,bit,0
USP_CurrentTransactions,SystemSessionsEinbeziehen,bit,0
USP_CurrentTransactions,MitSqlText,bit,1
USP_CurrentTransactions,MaxSqlTextZeichen,int,3000
USP_CurrentTransactions,MaxZeilen,int,1000
USP_CurrentTransactions,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentTransactions,JsonErzeugen,bit,0
USP_CurrentTransactions,Json,nvarchar(max),NULL OUTPUT
USP_CurrentTransactions,PrintMeldungen,bit,1
USP_CurrentTransactions,Hilfe,bit,0
USP_CurrentMemoryGrants,SessionIds,nvarchar(max),NULL
USP_CurrentMemoryGrants,AktuelleSessionEinbeziehen,bit,0
USP_CurrentMemoryGrants,NurWartende,bit,0
USP_CurrentMemoryGrants,MinRequestedMb,"decimal(19,2)",NULL
USP_CurrentMemoryGrants,MinGrantedMb,"decimal(19,2)",NULL
USP_CurrentMemoryGrants,MitSqlText,bit,1
USP_CurrentMemoryGrants,MaxSqlTextZeichen,int,3000
USP_CurrentMemoryGrants,MaxZeilen,int,1000
USP_CurrentMemoryGrants,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentMemoryGrants,JsonErzeugen,bit,0
USP_CurrentMemoryGrants,Json,nvarchar(max),NULL OUTPUT
USP_CurrentMemoryGrants,PrintMeldungen,bit,1
USP_CurrentMemoryGrants,Hilfe,bit,0
USP_CurrentTempDB,SessionIds,nvarchar(max),NULL
USP_CurrentTempDB,AktuelleSessionEinbeziehen,bit,0
